spine,show,year,archiveID,episode,why
1974-zwei-jahre-ferien-2024,1974. Zwei Jahre Ferien,2024,1974.-zwei-jahre-ferien-teil-1-die-flaschenpost,1974. Zwei Jahre Ferien - Teil 1 - Die Flaschenpost,"2024, modern television, no licence claimed"
1974-zwei-jahre-ferien-2024,1974. Zwei Jahre Ferien,2024,1974.-zwei-jahre-ferien-teil-2-die-meuterei,1974. Zwei Jahre Ferien - Teil 2 - Die Meuterei,"2024, modern television, no licence claimed"
1974-zwei-jahre-ferien-2024,1974. Zwei Jahre Ferien,2024,1974.-zwei-jahre-ferien-teil-3-eine-kuste-ohne-namen,1974. Zwei Jahre Ferien - Teil 3 - Eine Küste ohne Namen,"2024, modern television, no licence claimed"
1974-zwei-jahre-ferien-2024,1974. Zwei Jahre Ferien,2024,1974.-zwei-jahre-ferien-teil-4-die-vergessene-insel,1974. Zwei Jahre Ferien - Teil 4 - Die vergessene Insel,"2024, modern television, no licence claimed"
2-on-the-town-1985,2 on the Town,1985,2-on-the-town-garrison-keillor-1985,"2 On The Town - Melody Rogers, Bob Chandler","1985, modern television, no licence claimed"
2-stupid-dogs-1993,2 Stupid Dogs,1993,2-stupid-dogs-season-1,Vegas Buffet,"1993, modern television, no licence claimed"
227-1985,227,1985,227-s-4-e-23-jackee-most-convert-video-online.com,Jackee,"1985, modern television, no licence claimed"
240-robert-1979,240-Robert,1979,240-robert,The Apology,"1979, modern television, no licence claimed"
3-2-1-contact-1980,3-2-1 Contact,1980,3-2-1-contact-season-2-survival-protection-episode-3-1983,Noisy/Quiet: How People & Animals Use Sound,"1980, modern television, no licence claimed"
3-2-1-contact-1980,3-2-1 Contact,1980,3-2-1-contact-season-2-survival-energy-episode-4-1983,Noisy/Quiet: Music,"1980, modern television, no licence claimed"
3-2-1-contact-1980,3-2-1 Contact,1980,3-2-1-contact-season-6-episode-5-japan-judo-and-computers,Noisy/Quiet: Range of Vibration,"1980, modern television, no licence claimed"
3-2-1-contact-1980,3-2-1 Contact,1980,3-2-1-contact-episode-502-signals-talking-birds-talking-rooms-september-23-1986,"3-2-1 Contact - episode 502: Signals: Talking Birds, Talking Rooms","1980, modern television, no licence claimed"
3-2-1-contact-1980,3-2-1 Contact,1980,3-2-1-contact-5-episodes-from-season-5,3-2-1 Contact - 5 episodes from Season #5,"1980, modern television, no licence claimed"
3-2-1-contact-1980,3-2-1 Contact,1980,3-2-1-contact-space-and-measurement-10-episodes-from-season-3-1984,Noisy/Quiet: How People & Animals Use Sound,"1980, modern television, no licence claimed"
a-league-of-their-own-1993,A League of Their Own,1993,league-of-their-own-1993-series,Drinking Problems,"1993, modern television, no licence claimed"
a-league-of-their-own-1993,A League of Their Own,1993,a-league-of-their-own-1993-tv-series,A League Of Their Own 1993 TV series,"1993, modern television, no licence claimed"
after-the-verdict-2022,After the Verdict,2022,after-the-verdict-1x-04-episode-4,Episode 4,"2022, modern television, no licence claimed"
alas-smith-and-jones-1984,Alas Smith and Jones,1984,alas-smith-and-jones-s-1x-e-1-31-january-1984_202210,Episode 1,"1984, modern television, no licence claimed"
alas-smith-and-jones-1984,Alas Smith and Jones,1984,alas-smith-and-jones-s-1x-e-2-7-february-1984,Episode 2,"1984, modern television, no licence claimed"
