archiveID,overlap,verdict,transcriptWords,fileWords
Back-RoomBoy,0.79,OK,1423,1169
EternallyYours,0.70,OK,1581,1301
Phantom_From_Space,0.71,OK,1231,1201
Seven_Sinners_1936,0.66,OK,1349,1206
TheGhostTrain,0.85,OK,1521,1425
TheTerrorOfTinyTown1938_802,0.86,OK,855,837
The_Shadow_1933,0.88,OK,1334,1340
amazing_adventure,0.88,OK,1094,1067
arizona_kid,0.71,OK,996,953
bank_alarm,0.89,OK,1149,1156
beggars_in_ermine,0.74,OK,1203,1035
below_the_deadline,0.87,OK,1287,748
breaking_the_ice,0.61,OK,1063,816
bride_for_henry,0.72,OK,976,890
crooked_circle,0.64,OK,1041,804
danger_ahead,0.68,OK,676,647
escape_to_paradise,0.72,OK,1018,903
fit_for_a_king,0.63,OK,1030,826
girl_from_calgary,0.67,OK,944,786
girl_o_my_dreams,0.65,OK,947,833
gunsmoke_ranch,0.71,OK,945,817
heres_flash_casey,0.68,OK,1214,1112
hoosier_schoolboy,0.71,OK,1152,1144
irish_luck,0.68,OK,898,902
lying_lips_ipod,0.73,OK,1205,1098
murder_on_campus,0.72,OK,1390,1321
rhythm_blues_review,0.73,OK,966,726
ride_ranger_ride,0.74,OK,996,681
rogue_of_the_range,0.72,OK,853,711
shadows_of_the_orient,0.87,OK,1047,1036
six-gun_rhythm,0.68,OK,787,750
star_reporter,0.75,OK,1011,1049
the_big_show,0.57,OK,907,778
under_the_big_top,0.69,OK,855,826
undercover_agent,0.74,OK,1161,1099
x_marks_the_spot,0.76,OK,1005,976
