archiveID,catalogRuntime,measuredRuntime,ratio,lastCue,cueVsMeasured,verdict
girl_o_my_dreams,3770,3771,1.000,3769,1.000,OK
Horror_Hotel,4554,4554,1.000,4616,1.014,SUBS-OVERRUN-HIDDEN
SantaFeTrail1940,6568,6568,1.000,6514,0.992,OK
Seven_Sinners_1936,4170,4169,1.000,4164,0.999,OK
the-invisible-man-1933_202105,4260,4293,0.992,4217,0.982,OK
suddenly,4500,4533,0.993,4516,0.996,OK
crooked_circle,3562,3562,1.000,3545,0.995,OK
TheGhostTrain,5100,4882,1.045,4876,0.999,RUNTIME-LIE
dishonored_lady,5040,5041,1.000,5002,0.992,OK
reefer_madness1938,4097,4098,1.000,3932,0.960,OK
bride_for_henry,3480,3526,0.987,3505,0.994,OK
Inner_Sanctum_movie,3720,3721,1.000,3722,1.000,OK
gunsmoke_ranch,3166,3168,0.999,3156,0.996,OK
Phantom_From_Space,4380,4342,1.009,4341,1.000,OK
EternallyYours,5700,5446,1.047,5446,1.000,RUNTIME-LIE
rhythm_blues_review,4285,,,4097.94,,PROBE-FAIL
KingSolomonsMines1937,4821,,,4804.08,,PROBE-FAIL
x_marks_the_spot,3155,3159,0.999,3158,1.000,OK
rain1932,5520,,,5608.54,,PROBE-FAIL
arizona_kid,3188,3188,1.000,3188,1.000,OK
lying_lips_ipod,4098,4099,1.000,4085,0.997,OK
murder_on_campus,4164,4165,1.000,4128,0.991,OK
TheTerrorOfTinyTown1938_802,3720,3675,1.012,3675,1.000,OK
his_girl_friday,5504,,,5482.772,,PROBE-FAIL
danger_ahead,3536,3536,1.000,3520,0.995,OK
irish_luck,3048,3048,1.000,3046,0.999,OK
BeneathThe12-mileReef1953,6068,6068,1.000,6113,1.007,OK
SherlockHolmesAndTheSecretWeapon1943,3935,3935,1.000,4082,1.037,SUBS-OVERRUN-HIDDEN
morocco-30-1538596735589,5520,5537,0.997,5266,0.951,OK
TheMagicSword,4800,,,4736.264,,PROBE-FAIL
under_the_big_top,3840,3505,1.096,3503,0.999,RUNTIME-LIE
dressed-to-kill_202107,4132,4141,0.998,4297,1.038,SUBS-OVERRUN-HIDDEN
bank_alarm,3637,3628,1.002,3616,0.997,OK
hoosier_schoolboy,3633,3633,1.000,3591,0.988,OK
AsYouLikeIt1936,5760,5784,0.996,5782,1.000,OK
amazing_adventure,3660,,,3711.005,,PROBE-FAIL
below_the_deadline,4118,,,1823.2,,PROBE-FAIL
The_Little_Shop_of_Horrors.mpeg,4385,4351,1.008,4297,0.988,OK
Back-RoomBoy,4740,4734,1.001,4732,0.999,OK
undercover_agent,2980,2980,1.000,2966,0.995,OK
beggars_in_ermine,4221,4221,1.000,4211,0.998,OK
fit_for_a_king,3888,3889,1.000,3884,0.999,OK
the.-killing.-1956,5036,5037,1.000,5041,1.001,OK
breaking_the_ice,4778,4779,1.000,4735,0.991,OK
girl_from_calgary,3840,3765,1.020,3761,0.999,RUNTIME-LIE
The_Shadow_1933,4233,4233,1.000,4203,0.993,OK
the-hound-of-the-baskervilles-1939,4800,4784,1.003,4747,0.992,OK
rogue_of_the_range,3363,3364,1.000,3353,0.997,OK
shadows_of_the_orient,4031,4032,1.000,4026,0.998,OK
heres_flash_casey,3313,3313,1.000,3310,0.999,OK
ptp_rosita_ernst-lubitsch_raoul-walsh_unknown_xvid_avi_640x480_201241,4963,,,4902.6,,PROBE-FAIL
youth_on_parole,3188,3189,1.000,3188,1.000,OK
ride_ranger_ride,3184,,,3183.9,,PROBE-FAIL
star_reporter,3607,,,3600.18,,PROBE-FAIL
private_snuffy_smith,3953,3953,1.000,3904,0.987,OK
escape_to_paradise,3600,3642,0.988,3641,1.000,OK
Lady_Confesses,3838,3838,1.000,3838,1.000,OK
phantom_cowboy,3004,3005,1.000,2991,0.995,OK
Sun_Sets_at_Dawn_movie,4296,5160,0.833,4266,0.827,RUNTIME-LIE
blonde-venus,5580,5657,0.986,5576,0.986,OK
Please_Murder_Me_movie,4481,4483,1.000,4418,0.986,OK
six-gun_rhythm,3420,,,3374.49,,PROBE-FAIL
Million_Dollar_Weekend_1948,4324,4324,1.000,4322,1.000,OK
big_bluff,4200,4270,0.984,4266,0.999,OK
Jamaica_Inn,5940,5929,1.002,5960,1.005,OK
hearts_in_bondage,3158,3158,1.000,3155,0.999,OK
MissLondonLtd.,5700,5696,1.001,5677,0.997,OK
BloodyPitOfHorror,4944,4944,1.000,5160,1.044,SUBS-OVERRUN-HIDDEN
ThePhantomCreeps,4680,4700,0.996,4690,0.998,OK
Dick_Tracy_Meets_Gruesome_1947,3919,3919,1.000,3899,0.995,OK
IBuryTheLiving1958,4621,4621,1.000,4616,0.999,OK
ptp_nathan-der-weise_manfred-noa_dvd_xvid_avi_688x528_206801,7382,,,7380.438,,PROBE-FAIL
DonQuixote,3300,3321,0.994,3229,0.972,OK
VoyagetothePlanetofPrehistoricWomen,4774,4775,1.000,4768,0.998,OK
GreatExpectations1946,6801,,,7037.99,,PROBE-FAIL
danger_flight,3595,3596,1.000,3585,0.997,OK
ParlorBedroomandBath,4380,4351,1.007,4340,0.998,OK
Q-Planes,4680,4709,0.994,4689,0.996,OK
The_Monster_Maker,3746,3737,1.003,3735,1.000,OK
Milky_Way_movie,5247,5248,1.000,5252,1.001,OK
Borderline1950_431,5269,5269,1.000,5256,0.997,OK
convicts_code,3764,3764,1.000,3753,0.997,OK
StreamlineExpress1935,4202,4202,1.000,4123,0.981,OK
StreetScene1931,4712,4712,1.000,4706,0.999,OK
captain_calamity,3636,,,3619.95,,PROBE-FAIL
three_mesquiteers,3300,3183,1.037,3165,0.994,RUNTIME-LIE
Go_for_Broke,5520,5420,1.018,5445,1.005,OK
chasing_trouble,3581,3581,1.000,3572,0.998,OK
UndertheRedRobeVSjostrom1937RMassey,4913,4913,1.000,4854,0.988,OK
border_patrolman,3538,,,3527.15,,PROBE-FAIL
paradise_express,3159,3159,1.000,3143,0.995,OK
airborne,4982,,,4971.15,,PROBE-FAIL
CCO__TheGiantofMarathon,5400,5065,1.066,5102,1.007,RUNTIME-LIE
long_shot,4140,4048,1.023,4045,0.999,RUNTIME-LIE
PhantomExpress,3900,3906,0.998,3896,0.997,OK
CharlieChansSecret1936,4320,3765,1.147,4329,1.150,SUBS-OVERRUN-HIDDEN
flight_to_nowhere,4740,4478,1.059,4463,0.997,RUNTIME-LIE
Crime_Inc_1945,4415,4315,1.023,4312,0.999,RUNTIME-LIE
BlueSteel,3240,3256,0.995,3239,0.995,OK
oh_susanna,3540,3196,1.108,3195,1.000,RUNTIME-LIE
dra-cula.-eng.-mp-4.,4466,4466,1.000,4434,0.993,OK
ManhattanTower1932Restored,3973,3973,1.000,3911,0.984,OK
the-scarlet-claw,4440,4256,1.043,4398,1.033,SUBS-OVERRUN-HIDDEN
road_to_happiness,4441,4442,1.000,4431,0.998,OK
chinatown_after_dark,3540,3354,1.055,3345,0.997,RUNTIME-LIE
Judge_Priest,4800,4831,0.994,4708,0.974,OK
PhantasmagoriaTheater-TheGorilla1939761,3952,3952,1.000,3949,0.999,OK
StormInATeacup1937,5162,5162,1.000,5169,1.002,OK
AShotInTheDarkIPOD,3600,4145,0.869,4141,0.999,RUNTIME-LIE
renfrew_of_the_royal_mounted,3420,3369,1.015,3370,1.000,OK
2_weeks_to_live,4434,4435,1.000,4434,1.000,OK
hats_off,3634,3635,1.000,3635,1.000,OK
thekillers1946usafeaturingburtlancasteravagardneredmondobrienfilmnoirfullmovie_202001,6180,6144,1.006,6133,0.998,OK
Harakiri1919fritzLang,3589,3589,1.000,3588,1.000,OK
SpeckledBand,3000,2988,1.004,2971,0.994,OK
the_drifter,4260,3960,1.076,3957,0.999,RUNTIME-LIE
TheWayAhead,6615,6615,1.000,6516,0.985,OK
dreams-that-money-can-buy,4800,4757,1.009,4772,1.003,OK
The_Big_Lift,7200,6127,1.175,6127,1.000,RUNTIME-LIE
navy_blues,4038,4038,1.000,4025,0.997,OK
night_alarm,3840,3668,1.047,3652,0.996,RUNTIME-LIE
The_Vampire_Bat_1933,3757,3758,1.000,3739,0.995,OK
Hoop-La,4822,4822,1.000,4732,0.981,OK
presidents_mystery,3173,3174,1.000,3150,0.993,OK
AreWeCivilized_987,4156,4156,1.000,4101,0.987,OK
AssassinOfYouth_423,4800,4405,1.090,4391,0.997,RUNTIME-LIE
InvasionOfTheBeeGirls,5160,,,5089.06,,PROBE-FAIL
ThePharmacist,1080,1054,1.025,1140,1.082,SUBS-OVERRUN-HIDDEN
Zero_Hour_1939,3052,3052,1.000,3052,1.000,OK
Woman_in_the_Dark_1934,4138,4138,1.000,4148,1.003,OK
song_at_midnight,7080,7087,0.999,7077,0.999,OK
Lost_Jungle,4116,4117,1.000,4085,0.992,OK
crime_patrol,3550,3551,1.000,3537,0.996,OK
ThingsToCome_835,5571,,,5812.771,,PROBE-FAIL
held_for_ransom,3448,,,3402.3,,PROBE-FAIL
outlaws_paradise,3720,3150,1.181,3150,1.000,RUNTIME-LIE
frolics_on_ice,3900,3658,1.066,3658,1.000,RUNTIME-LIE
barefoot_boy,3596,,,3593.29,,PROBE-FAIL
Afgrunden_1910,2211,2211,1.000,1910,0.864,OK
Gangs_of_New_York_1938,4013,4013,1.000,3994,0.995,OK
outer_gate,3720,3790,0.982,3773,0.996,OK
earth-vs-the-flying-saucers-color,4980,,,4794.059,,PROBE-FAIL
the-devil-is-a-woman,4740,4791,0.989,4733,0.988,OK
TheSinofNoraMoran,3840,3836,1.001,3831,0.999,OK
ElephantBoy,4680,,,4914.493,,PROBE-FAIL
sherlock-holmes-and-the-pearl-of-death,4140,3948,1.049,4078,1.033,SUBS-OVERRUN-HIDDEN
ThePrivateLifeofHenryVIII.,5400,,,5368.972,,PROBE-FAIL
the-grapes-of-wrath-1940,7740,7785,0.994,7719,0.992,OK
the-manchurian-candidate,7560,,,7594.374,,PROBE-FAIL
stagecoach-colorized,5760,5384,1.070,5727,1.064,SUBS-OVERRUN-HIDDEN
We_Dive_at_Dawn_1943,5580,5578,1.000,5571,0.999,OK
TerrorByNight,3494,3494,1.000,3574,1.023,SUBS-OVERRUN-HIDDEN
rio-1939-,4620,4660,0.991,4629,0.993,OK
her_uncle_sam,4800,4081,1.176,4635,1.136,SUBS-OVERRUN-HIDDEN
CondemnedtoLive,4020,3909,1.028,3917,1.002,RUNTIME-LIE
In_Which_We_Serve,6568,6569,1.000,6488,0.988,OK
NeaththeArizonaSkys,3120,3242,0.962,3232,0.997,RUNTIME-LIE
TheWomanInGreen_894,4060,4060,1.000,4027,0.992,OK
throne-of-blood,6600,6571,1.004,6585,1.002,OK
LetterofIntroduction,6180,6183,1.000,6168,0.998,OK
TheHighCommand,4980,4971,1.002,5245,1.055,SUBS-OVERRUN-HIDDEN
police_patrol,3720,3627,1.026,3627,1.000,RUNTIME-LIE
le-sang-dun-poete-jean-cocteau-1930,3300,3032,1.089,3042,1.004,RUNTIME-LIE
yojimbo_202012,6600,6633,0.995,6626,0.999,OK
Werewolf_of_Washington,5351,,,5354.675,,PROBE-FAIL
He_Walked_by_Night_1948,4734,4734,1.000,4696,0.992,OK
Kilimanjaro,7020,6783,1.035,6806,1.003,RUNTIME-LIE
The_Second_Woman_,5460,5423,1.007,5226,0.964,OK
tormented,4571,,,4465.172,,PROBE-FAIL
rose-of-washington-square-1939,5160,5179,0.996,5129,0.990,OK
Vengence_of_the_Zombies,5340,5214,1.024,5293,1.015,SUBS-OVERRUN-HIDDEN
supernatural_202108,3900,3856,1.012,3769,0.978,OK
1937-you-only-live-once-solo-se-vive-una-vez-fritz-lang-vose,5160,4947,1.043,4947,1.000,RUNTIME-LIE
the-mummys-hand,4020,4009,1.003,3978,0.992,OK
curse-of-the-demon,5760,5748,1.002,5686,0.989,OK
ManoftheForest,3420,3438,0.995,3490,1.015,SUBS-OVERRUN-HIDDEN
SherlockHolmes-SleepingCardinal-AVI,4905,4906,1.000,4861,0.991,OK
abbott-and-costello-meet-frankenstein,4980,4968,1.003,4954,0.997,OK
Evergreen,5625,5625,1.000,5650,1.004,OK
the-adventures-of-sherlock-holmes,5100,4710,1.083,4866,1.033,SUBS-OVERRUN-HIDDEN
them_20210705,5640,5551,1.016,5549,1.000,OK
TheStranger720p,5700,5698,1.000,5648,0.991,OK
verkaufte_braut,4620,4576,1.010,4603,1.006,OK
LieutenantKizhe1934Restored,4994,4994,1.000,4950,0.991,OK
shadowofadoubt1943_202003,6480,6470,1.002,6443,0.996,OK
forbidden-1932,5100,4917,1.037,5119,1.041,SUBS-OVERRUN-HIDDEN
Mclintock.avi,7560,7595,0.995,7615,1.003,OK
OnlytheValaint,6300,6292,1.001,6302,1.002,OK
shame_,5040,4919,1.025,4951,1.007,RUNTIME-LIE
LifeWithFather,7080,7057,1.003,6998,0.992,OK
manwithcamera4k,4080,4020,1.015,4073,1.013,SUBS-OVERRUN-HIDDEN
Strange_Woman_movie,5915,5916,1.000,5776,0.976,OK
dishonored_202108,5460,5501,0.993,5426,0.986,OK
last-of-the-mohicans-1936-colorized,5460,5487,0.995,5438,0.991,OK
In_The_Year_2889,4800,4785,1.003,4792,1.001,OK
Gaslight_628,6188,6188,1.000,6793,1.098,SUBS-OVERRUN-HIDDEN
the-big-clock-1948,5700,5726,0.995,5682,0.992,OK
sherlock-holmes-faces-death,4080,3915,1.042,4048,1.034,SUBS-OVERRUN-HIDDEN
the-ladykillers_202105,5460,5206,1.049,5419,1.041,SUBS-OVERRUN-HIDDEN
the_bigamist,4800,4766,1.007,4696,0.985,OK
TheThreePassions1929,3900,3879,1.005,3778,0.974,OK
the-spider-woman,3780,3576,1.057,3686,1.031,SUBS-OVERRUN-HIDDEN
TheNorthStar,6480,6336,1.023,6358,1.003,RUNTIME-LIE
The_Green_Promise,5580,5660,0.986,5597,0.989,OK
spring_in_a_small_town,5580,5596,0.997,5595,1.000,OK
nazi_concentration_camps_mp4,3411,3556,0.959,3520,0.990,RUNTIME-LIE
Case_of_the_Frightened_Lady_1940,4812,4812,1.000,4619,0.960,OK
Destroy_All_Planets,5392,5393,1.000,4871,0.903,OK
1924LesRapacesGreedDeErichVonStroheimFreeDownload,6214,6215,1.000,5036,0.810,OK
1915bank,1499,1499,1.000,,,OK
late-autumn,7680,7733,0.993,7712,0.997,OK
It_Couldnt_Have_Happened,4200,4200,1.000,4201,1.000,OK
gentlemen-prefer-blondes-1953,5460,5485,0.995,5484,1.000,OK
thenakedcity1948_202003,5760,5757,1.001,5769,1.002,OK
the-house-of-fear,4140,3985,1.039,4120,1.034,SUBS-OVERRUN-HIDDEN
12TheMusketeersOfPigAlley,1020,146,7.008,,,RUNTIME-LIE
cheers_for_miss_bishop,5645,4943,1.142,5644,1.142,SUBS-OVERRUN-HIDDEN
rockstar-2011,9540,9544,1.000,,,OK
tarantula-1955-colorized,4800,4815,0.997,4738,0.984,OK
Jackie_Robinson_Story_The,4560,4609,0.989,4527,0.982,OK
1931-city-streets-las-calles-de-la-ciudad-rouben-mamoulian-vose,4841,4841,1.000,5192,1.072,SUBS-OVERRUN-HIDDEN
d554782113,5700,5354,1.065,5681,1.061,SUBS-OVERRUN-HIDDEN
invasion-of-the-body-snatchers-1956-colorized,4800,4818,0.996,4799,0.996,OK
unfaithfully-yours,6300,6317,0.997,6294,0.996,OK
when-worlds-collide,4980,4942,1.008,4897,0.991,OK
harvey-colorized,6240,5983,1.043,6253,1.045,SUBS-OVERRUN-HIDDEN
NakedMassacre1976,5121,5121,1.000,5110,0.998,OK
i.-don-t.-want.-to.-be.-a.-man.-1918-ctb-550-br-vl-8.mp-4,2700,2724,0.991,2685,0.986,OK
sabrina-1954,6780,6815,0.995,6765,0.993,OK
the-story-of-the-last-chrysaanthemum,8880,8630,1.029,8526,0.988,RUNTIME-LIE
platinum-blonde_1931,5340,5330,1.002,5294,0.993,OK
dr.-cyclops,4620,4634,0.997,4575,0.987,OK
ThatUncertainFeeling,5040,4998,1.008,5011,1.003,OK
Virus_Fukkatsu_no_hi,1780,1780,1.000,9250,5.195,SUBS-OVERRUN-HIDDEN
it-the-terror-from-beyond-space-colorized,4140,4152,0.997,4135,0.996,OK
un-chien-andalou__1929-film__luis_bunuel,960,958,1.002,982,1.025,SUBS-OVERRUN-HIDDEN
witchfinder-general,5160,5210,0.990,5101,0.979,OK
it-came-from-beneath-the-sea,4740,4732,1.002,4734,1.000,OK
TsayaA,5460,5412,1.009,5385,0.995,OK
Oil_Raider_1934,3613,3613,1.000,3583,0.992,OK
beyond.-the.-valley.-of.-the.-dolls.-1970.1080p.-blu-ray.x-264-yts.-ag,6540,6546,0.999,6514,0.995,OK
pursuit-to-algiers,3900,3752,1.039,3901,1.040,SUBS-OVERRUN-HIDDEN
masque-of-the-red-death,5340,4701,1.136,5271,1.121,SUBS-OVERRUN-HIDDEN
shield-for-murder-1954-,4897,4898,1.000,4842,0.989,OK
valley.-of.-the.-dolls.-1967.1080p.-blu-ray.x-264-yts.-am,7380,7413,0.995,7388,0.997,OK
back-street-1932-film-noir-drama,5127,5127,1.000,5072,0.989,OK
therecklessmoment1949,4920,4721,1.042,4719,1.000,RUNTIME-LIE
search-for-beauty-1934-,4680,4628,1.011,4599,0.994,OK
charlie-chan-in-shanghai-1935,4260,4261,1.000,4233,0.993,OK
suddenfear1952usafeaturingjoancrawfordjackpalancegloriagrahamefilmnoir,6600,6672,0.989,6590,0.988,OK
Liliom,5423,5423,1.000,6737,1.242,SUBS-OVERRUN-HIDDEN
Minesweeper_1943,3943,3943,1.000,3952,1.002,OK
the-cruel-sea-1953,7560,7583,0.997,7489,0.988,OK
Laddie_1940,4157,4157,1.000,4159,1.000,OK
OnTheGreatWhiteTrail,3420,3446,0.992,3493,1.013,SUBS-OVERRUN-HIDDEN
tokyo-story,8220,8230,0.999,8156,0.991,OK
the-curse-of-the-mummys-tomb,4860,4815,1.009,4812,0.999,OK
Nude.on.the.Moon.1961.AVI1Gb,4260,4213,1.011,4226,1.003,OK
sherlock-holmes-in-washington,4260,4111,1.036,,,RUNTIME-LIE
gammera,5160,5122,1.007,4703,0.918,OK
kronos-1957-colorized,4680,4693,0.997,4687,0.999,OK
life_at_stake,4537,4538,1.000,4516,0.995,OK
high-and-low,8580,8593,0.998,8601,1.001,OK
BadGirl1931,5400,5416,0.997,5264,0.972,OK
LifeAndDeathOfColonelBlimp_the,9802,9802,1.000,9707,0.990,OK
DeathMachines,5580,5580,1.000,5509,0.987,OK
Holy_Terror_Podcast_Halloween,4980,4955,1.005,4919,0.993,OK
TheStarsLookDown1940,5661,5661,1.000,5655,0.999,OK
the-creature-walks-among-us,4680,4706,0.994,4636,0.985,OK
NightOfTheBloodBeast1958,3743,3743,1.000,3704,0.990,OK
wild-strawberries,5460,5471,0.998,5404,0.988,OK
sahara-colorized,5820,5880,0.990,5843,0.994,OK
the.-panic.in.-needle.-park.-1971,6600,6584,1.002,6570,0.998,OK
Deluge_1933,3963,3964,1.000,3898,0.983,OK
house-of-frankenstein-1944_202106,4260,4225,1.008,4166,0.986,OK
the-lost-weekend-1945,6060,6045,1.002,6036,0.998,OK
sherlock-holmes-and-the-voice-of-terror-1942,3900,3929,0.993,,,OK
mayerling_202103,5760,5645,1.020,,,RUNTIME-LIE
daughter-of-shanghai-1937,3720,3714,1.002,3713,1.000,OK
this-gun-for-hire-1942,4860,4861,1.000,4810,0.989,OK
frankenstein-1931-doblada-al-espanol,4212,4212,1.000,4146,0.984,OK
osaka-elegy,5400,4332,1.247,,,RUNTIME-LIE
pit-and-the-pendulum,4800,4834,0.993,4744,0.981,OK
1953niagarahhathaway,5520,5113,1.080,5313,1.039,SUBS-OVERRUN-HIDDEN
1935-Triumph-des-Willens-Das-Dokument-vom-Reichsparteitag-1934,6267,6267,1.000,6279,1.002,OK
the-beast-from-20-000-fathoms,4800,4785,1.003,4444,0.929,OK
the.-scarlet.-pimpernel.-1934,5849,5850,1.000,5588,0.955,OK
The_Scarlet_Clue,3900,3901,1.000,3877,0.994,OK
1921Camille,8337,8337,1.000,4168,0.500,OK
jason-and-the-argonauts-1963,6240,6234,1.001,6210,0.996,OK
1927-underworld-la-ley-del-hampa-josef-von-sternberg-intertitulos-en-ingles,4800,4889,0.982,4900,1.002,OK
the-docks-of-new-york,4560,4536,1.005,4500,0.992,OK
the-wages-of-fear,9360,8869,1.055,8759,0.988,RUNTIME-LIE
TheTerror,4743,4743,1.000,4707,0.992,OK
1951twoofakindvo,4500,4507,0.999,4482,0.995,OK
deadly-mantis-1957-colorized,4740,4716,1.005,4673,0.991,OK
house-of-dracula,4020,4020,1.000,3976,0.989,OK
sisters-of-the-gion,4206,4206,1.000,4202,0.999,OK
nancy-drew-detective-1938-,3960,3936,1.006,3936,1.000,OK
frankenstein-1931-restored-movie-720p-hd,4200,4203,0.999,4146,0.986,OK
invisible-man-1933-english,4293,4293,1.000,4217,0.982,OK
i-married-a-monster,4680,4673,1.001,4627,0.990,OK
the-idiot,9960,9976,0.998,9977,1.000,OK
think-fast-mr.-moto-1937,4200,3975,1.057,3963,0.997,RUNTIME-LIE
1931-grief-street-richard-thorpe-vo,3840,3794,1.012,3789,0.999,OK
in-the-realm-of-the-senses,6300,5899,1.068,6040,1.024,SUBS-OVERRUN-HIDDEN
stray-dog,7320,7335,0.998,7336,1.000,OK
ace-in-the-hole1951,6660,6676,0.998,6633,0.994,OK
lady-snowblood,5820,5836,0.997,5833,1.000,OK
and-then-there-were-none-1945_202309,5880,5819,1.010,5821,1.000,OK
the-little-girl-who-lives-down-the-lane__jodie-foster-1976,5460,5513,0.990,5357,0.972,OK
TheManWhoCheatedHimself1950,4792,4792,1.000,4771,0.996,OK
BorntoWin,5280,5028,1.050,5221,1.038,SUBS-OVERRUN-HIDDEN
blade_202210,7260,7214,1.006,55,0.008,OK
night-creatures,4933,4933,1.000,4592,0.931,OK
night-has-a-thousand-eyes-1948,4860,4661,1.043,4814,1.033,SUBS-OVERRUN-HIDDEN
x-the-unknown-1956-colorized,4860,4769,1.019,4757,0.997,OK
ablueprintformurder1953,4620,4589,1.007,4564,0.995,OK
drunken-angel,6120,5877,1.041,5878,1.000,RUNTIME-LIE
the-harder-they-fall-1956,6540,6527,1.002,6429,0.985,OK
