archiveID,overlap,verdict,transcriptWords,fileWords
AsYouLikeIt1936,0.80,OK,1704,1705
BeneathThe12-mileReef1953,0.83,OK,914,870
Dick_Tracy_Meets_Gruesome_1947,0.93,OK,1123,1094
GreatExpectations1946,0.94,OK,1498,1399
Horror_Hotel,0.89,OK,1045,1120
Inner_Sanctum_movie,0.91,OK,995,953
Q-Planes,0.89,OK,1853,1660
SantaFeTrail1940,0.91,OK,2008,1851
SherlockHolmesAndTheSecretWeapon1943,0.92,OK,1471,1380
TheMagicSword,0.94,OK,1004,942
The_Little_Shop_of_Horrors.mpeg,0.84,OK,1290,1214
blonde-venus,0.89,OK,1202,1120
dishonored_lady,0.93,OK,1469,1427
dressed-to-kill_202107,0.91,OK,1553,1502
his_girl_friday,0.86,OK,2092,1817
rain1932,0.86,OK,1629,1614
reefer_madness1938,0.92,OK,1101,1071
suddenly,0.90,OK,1410,1372
the-hound-of-the-baskervilles-1939,0.94,OK,1384,1357
the-invisible-man-1933_202105,0.92,OK,1241,1207
the.-killing.-1956,0.89,OK,1553,1600
